id_cliente,tipo_cliente,nome_razao_social,cpf_cnpj,email,telefone,cidade,estado,cep,data_nascimento_fundacao,genero,profissao_segmento,renda_mensal_faturamento,data_cadastro
CLI0339,PF,Denise Rezende,005.328.538-63,deniserezend250@hotmail.com,(85)938788381,Vitória,ES,20918-617,,M,Vendedor,47711,12.04.2021
CLI0182,PJ,IOTA CONSULTORIA ME,,iotaconsulto804@yahoo.com.br,+55 21 93955-9306,Palmas,TO,52477-702,27.05.2012,,Varejo,4824025,26.11.2023
CLI0004,PF,bruno ribeiro,473.829.973-76,brunoribeiro993@gmail.com,(41) 93724-7658,Campo Grande,MS,10282-499,1966-06-18,f,,38066,02-06-2025
CLI0425,PF,thiago leal,295.945.231-58,thiagoleal368@hotmail.com,71973731819,Curitiba,PR,,31/01/1964,f,Médico,28690,2022-08-02
CLI0250,PF,Carlos Souza,06791766512,carlossouza566@yahoo.com.br,(31) 91376-6189,Vitória,ES,21950-684,1980-04-15,,Administrador,17105,09.01.2023
CLI0020,PF,LETICIA XAVIER,21020539502,leticiaxavie330@uol.com.br,(31)949580505,Belo Horizonte,MG,66387-201,1952-10-17,Masculino,Analista,9075,2021-04-13
CLI0161,PF,Camila Gomes,408.916.498-37,camilagomes72@hotmail.com,(41) 98455-7594,Macapá,AP,,03.01.1994,M,,12677,2020-06-28
CLI0194,PF,Larissa Mendes,29800615581,sem email,,Belém,PA,81001-719,28.03.1953,F,Empresário,R$ 28079,26.01.2021
CLI0199,PF,Lucas Pereira,40907977278,emailerrado,(71) 92007-2064,João Pessoa,,15833-382,06-03-1967,Masculino,Contador,R$ 22740,01.09.2025
CLI0253,PF,vinicius moreira,142.817.852-28,viniciusmore44@gmail.com,(31)963018273,Cuiabá,MT,71160-762,11/12/1982,M,Professor,R$ 48544,20.12.2023
CLI0049,PF,Gabriel Yazbek,52696582710,gabrielyazbe68@yahoo.com.br,(41) 91948-5005,Cuiabá,MT,96252-858,21/10/1977,M,Economista,23413,2020-02-21
CLI0207,PJ,Rho Sistemas Ltda,86367747226408,rhosistemasl652@gmail.com,31990472677,São Luís,MA,91984-583,03-29-1997,,Varejo,924793,25/02/2024
CLI0091,PF,Mauricio Melo,,mauriciomelo285@uol.com.br,41929898606,Aracaju,SP ,97424-691,09.04.1994,M,Vendedor,,05-07-2023
CLI0117,PJ,  Zeta Indústria ME  ,90.835.723/2466-51,zetaindústri197@gmail.com,(51) 98604-8952,,PE,46408,2016-12-26,,Indústria,2251230,21/12/2021
CLI0379,PF,Otavio Esteves,  538.694.790-25  ,otavioesteve744@yahoo.com.br,(62) 91262-1532,Curitiba,PR,66012-151,16.04.1950,F,Jornalista,22509,08/08/2024
CLI0323,PJ,Zeta Indústria ME,21.158.718/4523-54,zetaindústri116@outlook.com,(31)939872087,Macapá,AP,27308-691,1992-02-04,,Educação,2279038,19.08.2023
CLI0300,PF,Simone Guimarães,376.052.304-58,simoneguimar529@hotmail.com,(62) 99818-9955,Florianópolis,SC,70519-953,10/12/1975,M,Analista,6140,01-31-2021
CLI0361,PF,Sabrina Ramos,60422763460,sabrinaramos4@uol.com.br,(71) 97347-6752,Curitiba,PR,91448-552,10-08-1986,F,Contador,46524,01.08.2024
CLI0518,PJ,Lambda Foods Ltda,87282063228012,lambdafoodsl278@outlook.com,62996802950,Fortaleza,CE,43694-936,22.01.2014,,Indústria,3615550,12-25-2021
CLI0106,PF,Eduardo Ferreira,  007.806.867-17  ,eduardoferre73@outlook.com,61949807633,São Paulo,SP,20611-735,08-10-1991,M,Analista,26275,08-12-2020
CLI0138,PF,Jorge Oliveira,342.583.230-24,jorgeoliveir782@uol.com.br,+55 85 95049-1872,Recife,PE,76619-698,25.09.1961,F,Analista,22837,07/05/2022
CLI0283,PF,MURILO QUEIROZ,  152.386.767-38  ,nao informado,(41)962365641,Cuiabá,MT,53499-802,23.10.1963,m,Empresário,R$ 34368,05/06/2020
CLI0126,PF,Claudio Queiroga,695.814.671-79,claudioqueir865@hotmail.com,(51)930980122,Natal,RN,64523-605,04-27-1976,f,Analista,46112,07/05/2022
CLI0167,PJ,Tecnologia Oeste Ltda,58.955.168/7409-03,tecnologiaoe686@gmail.com,(81)924542266,Campinas,SP,36145-511,20/09/1991,,Indústria,R$ 4882628,07-23-2023
CLI0444,PF,Juliana Costa,  625.108.573-83  ,julianacosta866@gmail.com,(41) 95054-8246,Natal,,72341-483,26/01/1982,Masculino,Arquiteto,4048,14.11.2021
CLI0293,PF,  Cintia Nogueira  ,  061.592.738-74  ,cintianoguei293@gmail.com,(21)959468104,Porto Velho,RO,50404-737,1973-06-03,F,Designer,,12-18-2024
CLI0113,PF,Fernanda Martins,908.334.280-13,fernandamart291@outlook.com,51984345332,Natal,RN,72347-795,24.11.1959,Feminino,Contador,R$ 38512,22.02.2020
CLI0055,PF,Roberto Kramer,644.220.969-02,robertokrame993@hotmail.com,81983286096,Maceió,AL,19661-918,17/10/1973,Feminino,Contador,R$ 9080,22/04/2023
CLI0404,PF,Gustavo Araujo,518.178.824-26,gustavoarauj324@yahoo.com.br,+55 85 95596-8635,Rio de Janeiro,--,19253-742,,F,Advogado,16942,19.09.2024
CLI0246,PJ,Theta Engenharia Ltda,87.274.204/9561-21,thetaengenha887@uol.com.br,(41) 98285-2902,Curitiba,PR,58060-913,,,Construção Civil,R$ 1581693,03-25-2020
CLI0428,PF,Vinicius Moreira,30003753989,viniciusmore143@gmail.com,+55 51 93681-8011,Manaus,AM,68342-986,1999-09-06,Masculino,Analista,6690,06-21-2022
CLI0077,PF,alessandra nunes,  333.433.339-52  ,alessandranu703@hotmail.com,(21)938286706,Guarulhos,SP,52655-470,09-26-2001,Masculino,Analista,,2022-11-29
CLI0394,PF,Anderson Dias,  622.952.179-70  ,nao informado,+55 21 96177-7934,Guarulhos,SP,84983-163,01/01/2030,M,Economista,R$ 25984,01-04-2022
CLI0116,PF,  Leticia Xavier  ,07698640790,leticiaxavie981@gmail.com,(62)973789440,Recife,PE,20048-767,1956-10-04,m,Administrador,21485,08-29-2025
CLI0196,PF,Eduardo Ferreira,  875.357.788-11  ,eduardoferre630@yahoo.com.br,+55 31 94349-7082,,RS,37606-438,,f,Engenheiro,21282,2021-07-08
CLI0238,PF,viviane hardt,93993379705,vivianehardt803@yahoo.com.br,(81) 96147-9786,Natal,,35551-636,,Masculino,Professor,2200,2023-03-02
CLI0255,PF,Paulo Abreu,00838507659,pauloabreu202@gmail.com,51915622602,Fortaleza,,,04/10/1963,F,Enfermeiro,R$ 49936,13.09.2021
CLI0009,PJ,omicron distribuidora me,47143455812236,omicrondistr789@uol.com.br,(11)962343121,,MA,81582-919,2008-02-20,,Agronegócio,R$ 4651752,22.06.2022
CLI0327,PF,Natalia Teixeira,  055.491.215-16  ,nataliateixe888@outlook.com,(21)967713148,Macapá,SP ,84256-762,1966-08-02,f,Economista,18621,28.05.2020
CLI0354,PF,Ana Lima,517.422.404-32,analima243@outlook.com,,Goiânia,GO,70928-587,1990-04-02,M,Designer,,02/05/2020
CLI0421,PF,ALESSANDRA NUNES,,alessandranu180@uol.com.br,11973222248,Campo Grande,MS,89429-705,28/07/1986,,Engenheiro,R$ 45227,10/05/2020
CLI0081,PF,Rafael Santos,,emailerrado,(21) 99899-8702,Palmas,S.P,42631-494,01-01-2030,M,Analista,34662,2024-12-19
CLI0209,PJ,  Omicron Distribuidora ME  ,57.494.902/2840-35,omicrondistr825@hotmail.com,+55 51 94734-1458,Belém,PA,11581-365,06-23-2012,,Varejo,2656355,14.09.2025
CLI0245,PJ,Zeta Indústria ME,97990707550476,zetaindústri89@outlook.com,+55 21 92540-8449,Natal,RN,71509-135,08/04/1991,,Logística,4213005,2025-01-22
CLI0249,PF,Fernanda Martins,39354358644,fernandamart278@uol.com.br,(61)926700614,Campinas,SP,61521-103,1968-06-16,Masculino,Contador,44433,09.11.2022
CLI0158,PF,Bruno Ribeiro,  392.823.414-36  ,brunoribeiro63@uol.com.br,(11)957113712,Goiânia,GO,16832,,,Analista,R$ 47885,2023-08-10
CLI0446,PF,Simone Guimarães,342.755.767-29,simoneguimar17@outlook.com,(62) 92879-8662,Cuiabá,MT,38000-977,1957-08-02,Feminino,Jornalista,R$ 40355,01.04.2021
CLI0389,PF,Maria Oliveira,99919387337,mariaoliveir806@outlook.com,,Vitória,ES,56094-492,,m,,R$ 32830,13/11/2022
CLI0259,PF,Felipe Cardoso,705.263.510-04,felipecardos40@gmail.com,61910367395,Florianópolis,SC,53583-796,1980-01-06,f,Professor,34463,08-30-2025
CLI0008,PF,Juliana Costa,  629.946.804-43  ,julianacosta645@uol.com.br,(71)924305904,Maceió,AL,77889-575,02-26-1970,F,Médico,33138,17/10/2022
CLI0120,PF,Gustavo Araujo,893.173.420-69,gustavoarauj194@outlook.com,+55 31 94858-8388,Belém,PA,94834-569,18/11/1973,F,Advogado,15540,2025-04-04
CLI0498,PJ,Rho Sistemas Ltda,56771251589041,rhosistemasl871@hotmail.com,(31) 98992-9637,Campo Grande,MS,60019-918,2002-08-23,,Construção Civil,R$ 3562966,12-05-2020
CLI0016,PJ,Serviços Leste ME,60576627028951,servicoslest801@yahoo.com.br,(71)994127561,Fortaleza,CE,14705-732,26.11.2009,,,1309263,2023-03-23
CLI0062,PF,PAULO ABREU,  257.532.603-32  ,pauloabreu678@gmail.com,(51) 93247-7862,Cuiabá,--,75239-303,22/05/1960,,Empresário,47997,2022-12-13
CLI0077,PF,alessandra nunes,  333.433.339-52  ,alessandranu703@hotmail.com,(21)938286706,Guarulhos,SP,52655-470,09-26-2001,Masculino,Analista,,2022-11-29
CLI0025,PF,Ligia Bernardes,73322141888,ligiabernard289@outlook.com,(71)917003454,Maceió,AL,82684-205,04-11-1990,f,Economista,14715,14/10/2025
CLI0181,PF,Elisa Lacerda,828.723.244-07,elisalacerda632@gmail.com,11998243507,Maceió,AL,48015-396,05/12/1960,,Advogado,37829,07-12-2025
CLI0035,PF,Felipe Cardoso,49329668516,felipecardos303@yahoo.com.br,(41)965813853,Cuiabá,MT,97044-945,09/08/1960,,Enfermeiro,48108,10/10/2022
CLI0103,PF,Fernanda Martins,  903.202.041-79  ,fernandamart169@outlook.com,(62)912097866,Porto Velho,RO,10946-283,02-17-1969,M,,19949,08.03.2023
CLI0415,PF,Alessandra Nunes,369.524.746-65,alessandranu954@hotmail.com,41983622284,Florianópolis,SC,13425-522,23.05.1980,M,Vendedor,47733,2024-05-29
CLI0142,PF,leandro farias,874.302.716-93,leandrofaria683@gmail.com,(41) 99085-7738,Cuiabá,MT,52731-519,1966-06-17,m,Arquiteto,R$ 17708,2022-11-01
CLI0225,PF,Fábio Vieira,  484.539.862-89  ,fábiovieira418@outlook.com,(31)933811694,Macapá,AP,75494-192,1952-08-24,M,Engenheiro,8170,2024-07-02
CLI0287,PF,  Vanessa Freitas  ,245.393.132-15,vanessafreit973@yahoo.com.br,+55 31 99442-3747,Palmas,TO,19121-638,01-06-1994,m,Arquiteto,16554,09/12/2021
CLI0422,PF,MARIA OLIVEIRA,511.350.535-72,mariaoliveir893@hotmail.com,+55 85 98692-7717,Belo Horizonte,MG,92419-231,1952-02-17,M,Administrador,R$ 48680,18/12/2021
CLI0031,PF,sandro guerreiro,62588153714,sandroguerre612@outlook.com,,Rio de Janeiro,RJ,16705-683,1977-09-06,f,Analista,17776,01-24-2024
CLI0105,PF,TATIANA BORGES,31363631797,tatianaborge976@uol.com.br,(62)939050434,Palmas,TO,46591-114,1959-12-20,M,Advogado,16408,2022-10-07
CLI0310,PF,Pedro Alves,  045.421.854-57  ,pedroalves942@uol.com.br,51921939929,Curitiba,PR,44316-834,12/09/1980,F,Vendedor,10913,2021-01-04
CLI0350,PF,Adriana Jardim,243.736.158-73,adrianajardi253@gmail.com,+55 71 98984-4046,Belém,PA,25163-203,1998-11-08,M,Economista,30193,05.10.2022
CLI0360,PF,JORGE OLIVEIRA,570.041.291-82,jorgeoliveir92@hotmail.com,+55 31 92467-3049,Maceió,AL,59055-111,27/08/1969,f,,10374,24.10.2024
CLI0185,PF,rodrigo castro,  743.000.389-60  ,rodrigocastr256@gmail.com,31947929390,São Paulo,SP,27002-720,05-15-1971,m,Professor,37141,16/05/2021
CLI0419,PF,MARCELO AZEVEDO,71171321940,marceloazeve74@hotmail.com,+55 21 92821-7208,São Luís,MA,,09-26-1956,f,Analista,35428,09/03/2023
CLI0063,PJ,PI SOLUÇÕES SA,14374470120455,pisolucõessa979@uol.com.br,(21)963720675,Guarulhos,SP,60556-806,30.08.2008,,,R$ 1260936,2024-09-23
CLI0244,PF,Diego Sampaio,361.618.808-19,diegosampaio508@hotmail.com,(51) 94962-7653,Teresina,PI,48769,1959-07-20,m,Advogado,14342,2021-05-10
CLI0478,PF,Bruno Ribeiro,65826082526,brunoribeiro151@yahoo.com.br,+55 51 95327-5470,Campo Grande,MS,33706-483,1964-12-05,,Analista,9091,07-22-2023
CLI0344,PF,NELSON INOCÊNCIO,406.221.559-96,nelsoninocên844@hotmail.com,+55 61 93247-5709,Curitiba,PR,31787-818,18.11.1984,f,Economista,41143,18/08/2020
CLI0202,PF,SIMONE GUIMARÃES,98392250142,simoneguimar484@outlook.com,+55 41 96215-3187,Porto Velho,,98440-847,1999-10-28,F,Vendedor,8547,01/06/2024
CLI0288,PF,Brenda Peixoto,91060183647,brendapeixot837@outlook.com,(85) 94950-2675,Aracaju,SE,33009-164,1982-08-01,f,Advogado,39435,2022-05-30
CLI0356,PF,Roberto Kramer,47726903265,robertokrame554@outlook.com,(51)978946993,Curitiba,PR,70766-488,04-29-1953,Feminino,Enfermeiro,37194,02-09-2020
CLI0240,PJ,Tecnologia Oeste Ltda,14330800370033,tecnologiaoe25@outlook.com,+55 11 94760-9052,Vitória,ES,86229-476,2014-12-14,,Tecnologia,,03.11.2021
CLI0072,PF,Cristina Pinto,731.453.038-56,cristinapint451@hotmail.com,(85) 95600-4465,Aracaju,RRJ,64344-930,06.10.1983,F,Analista,24612,09.04.2021
CLI0216,PJ,ETA LOGÍSTICA SA,31.795.563/3185-74,etalogística857@gmail.com,+55 51 97384-8722,Guarulhos,SP,52371-146,29/09/1992,,Agronegócio,R$ 3458029,2022-10-16
CLI0363,PF,Fernanda Martins,884.968.066-40,fernandamart60@hotmail.com,,Teresina,PI,11730-314,11/05/1997,M,Professor,8585,28/04/2025
CLI0501,PF,Monique Zanetti,264.106.032-67,moniquezanet534@outlook.com,(51) 97202-9500,Maceió,AL,95148-352,14.11.1964,m,Analista,,12/03/2021
CLI0007,PF,Jorge Oliveira,21607337543,jorgeoliveir591@hotmail.com,(71) 91027-9518,Salvador,BA,53279-738,01/01/2030,M,Contador,22557,05-25-2021
CLI0440,PF,Juliana Costa,80501417165,julianacosta186@uol.com.br,85995825795,Aracaju,SE,28519-703,14.07.1953,Masculino,,R$ 49081,20/05/2021
CLI0271,PF,Nelson Inocêncio,36551584826,nelsoninocên18@uol.com.br,(85) 94027-3060,Aracaju,SE,43136-954,,M,Professor,41459,07/12/2025
CLI0064,PJ,Zeta Indústria ME,70145089935889,zetaindústri518@outlook.com,(31) 92226-9055,Aracaju,RRJ,82154-758,29/04/1995,,Serviços,3328579,20/08/2022
CLI0459,PF,Leandro Farias,886.016.744-92,leandrofaria550@uol.com.br,(61) 98302-3037,Natal,RN,99455-979,01.01.2030,F,Arquiteto,13661,18.08.2023
CLI0479,PF,PAULO ABREU,367.380.520-38,sem email,(85) 98891-7469,Maceió,AL,96691-780,02.06.1973,M,Professor,R$ 5910,2021-03-20
CLI0065,PF,FERNANDA MARTINS,660.880.199-48,fernandamart842@outlook.com,62926206227,Curitiba,PR,,11.11.1981,,Administrador,R$ 26503,19.05.2021
CLI0366,PF,Lucas Pereira,431.983.924-84,lucaspereira630@yahoo.com.br,+55 85 96338-1279,Macapá,AP,65130-365,1982-09-21,F,Analista,R$ 28494,28.09.2021
CLI0149,PJ,Comércio Norte EIRELI,18435797863050,comercionort357@outlook.com,(81) 92645-7305,Aracaju,SE,21415-408,06-30-1999,,Tecnologia,2059231,25.02.2026
CLI0495,PF,Ligia Bernardes,856.905.096-56,ligiabernard228@gmail.com,+55 62 97082-2691,Vitória,SP ,47231-722,01/05/1967,Masculino,,35801,13.08.2024
CLI0017,PF,,050.455.623-86,priscilamace468@yahoo.com.br,+55 71 97248-6881,São Luís,MA,48696-122,09-28-1991,M,,R$ 24646,06-09-2024
CLI0378,PF,Vinicius Moreira,336.109.441-64,viniciusmore336@yahoo.com.br,+55 85 99100-4093,Palmas,TO,15397-272,09-12-1968,M,Advogado,4949,16.06.2022
CLI0086,PF,Juliana Costa,  048.058.925-83  ,julianacosta201@uol.com.br,(85) 95034-4970,Campinas,SP,64209-533,07-22-1973,M,Economista,R$ 10838,02-19-2022
CLI0304,PJ,Gamma Tecnologia ME,83.854.540/0644-54,gammatecnolo459@yahoo.com.br,62970498656,Fortaleza,CE,94549-756,07.04.1993,,Serviços,743438,12.11.2021
CLI0329,PF,JULIANA COSTA,  365.604.500-63  ,julianacosta542@hotmail.com,+55 41 92283-6144,Guarulhos,SP,91364-970,08.02.1984,Feminino,Arquiteto,R$ 32536,05.10.2023
CLI0223,PF,Rafael Santos,501.394.884-88,rafaelsantos281@gmail.com,+55 41 94538-3381,Fortaleza,CE,12722-978,14.05.1976,F,Contador,R$ 31002,02.12.2024
CLI0510,PF,NATALIA TEIXEIRA,616.649.700-84,nataliateixe737@hotmail.com,(31) 96429-7102,São Luís,MA,81859-297,,F,Técnico,28735,12-27-2024
CLI0002,PF,FELIPE CARDOSO,928.327.648-35,felipecardos157@hotmail.com,(71) 92040-7304,Rio de Janeiro,RJ,25014-798,1988-06-08,Masculino,Professor,R$ 11065,12-28-2022
CLI0213,PF,Otavio Esteves,  403.344.505-66  ,otavioesteve283@uol.com.br,51928023391,Rio de Janeiro,RJ,87307-406,29.12.1984,M,Vendedor,R$ 41761,26.12.2020
CLI0110,PJ,Beta Soluções Ltda,96106462879232,betasolucões230@gmail.com,+55 31 98742-3034,Campo Grande,MS,74472-804,22.07.2011,,Construção Civil,2633300,26/04/2020
CLI0070,PF,Camila Gomes,882.100.996-88,camilagomes366@hotmail.com,(41)952652506,Natal,RN,90785-775,29/03/1999,M,Administrador,18429,09-16-2021
CLI0467,PF,Monique Zanetti,616.691.008-22,moniquezanet143@yahoo.com.br,(31) 98468-1805,Guarulhos,SP,96639-574,1952-09-25,m,Vendedor,R$ 48426,12-30-2022
CLI0318,PF,sabrina ramos,  893.186.928-97  ,sabrinaramos135@uol.com.br,(21) 97905-6896,Cuiabá,MT,93105-312,1970-07-07,Masculino,Médico,20181,2023-02-08
CLI0376,PJ,kappa ventures sa,43.551.962/8222-50,kappaventure258@hotmail.com,21942975131,,AM,,16/05/2005,,Agronegócio,2615539,06.09.2024
CLI0121,PJ,Construtora Central SA,00489646528092,nao informado,+55 81 95635-5312,São Luís,MA,67117-268,06-13-1992,,Tecnologia,1206621,2025-07-05
CLI0036,PF,rosana figueiredo,258.713.971-87,rosanafiguei788@hotmail.com,71970201634,Belém,,,28/11/1980,,Médico,6523,09.01.2026
CLI0292,PF,Otavio Esteves,242.114.086-82,otavioesteve795@gmail.com,+55 81 94125-7944,Natal,RN,60773-414,02-10-1950,F,Enfermeiro,24625,2021-06-17
CLI0232,PF,Denise Rezende,92693265732,deniserezend297@yahoo.com.br,(85)981444791,Goiânia,GO,82393-743,,F,Técnico,40236,2023-02-25
CLI0396,PF,MONIQUE ZANETTI,964.402.825-32,moniquezanet529@yahoo.com.br,(41) 95864-9104,Vitória,ES,73343-439,01-01-2030,M,Arquiteto,R$ 6276,12-10-2020
CLI0263,PF,JORGE OLIVEIRA,61851744600,jorgeoliveir592@uol.com.br,(85) 95874-2645,Porto Velho,RO,45264-858,01-27-1957,F,Jornalista,R$ 37475,08/10/2020
CLI0169,PJ,Delta Comércio SA,10.336.829/6353-39,deltacomerci467@outlook.com,(61)933597329,Porto Velho,RO,33186-666,30/10/2017,,Construção Civil,2675012,01.02.2026
CLI0143,PJ,BETA SOLUÇÕES LTDA,71183727422091,betasolucões732@gmail.com,+55 85 99566-2684,Guarulhos,SP,59465,2005-02-14,,Agronegócio,R$ 194041,2022-04-06
CLI0311,PF,BRUNO RIBEIRO,710.580.119-50,brunoribeiro517@uol.com.br,(85)972857546,Cuiabá,MT,85115-318,1988-08-05,,Médico,18805,08-15-2024
CLI0503,PJ,Kappa Ventures SA,48.723.858/6539-27,kappaventure811@gmail.com,+55 81 98052-1096,Porto Alegre,RS,23273-589,22.08.2007,,Transporte,756332,01.08.2023
CLI0320,PF,elaine domingues,  670.636.219-86  ,elainedoming992@hotmail.com,(71) 93251-6628,Salvador,BA,77271-751,1977-02-13,m,Vendedor,13071,09.06.2020
CLI0237,PF,Débora Pacheco,076.248.433-79,deborapachec289@yahoo.com.br,(31)959661702,Aracaju,SE,52755-804,1951-03-01,F,Contador,46830,04.07.2023
CLI0269,PF,BRENDA PEIXOTO,  298.937.629-74  ,brendapeixot247@gmail.com,(62) 99907-2215,Recife,PE,53525-662,1985-05-27,F,Arquiteto,5462,31/12/2021
CLI0278,PF,Isabela Duarte,641.869.656-13,isabeladuart7@uol.com.br,,Vitória,ES,97597-297,11-17-1977,F,,R$ 3930,03/10/2023
CLI0461,PF,CESAR CAVALCANTI,,cesarcavalca730@yahoo.com.br,(61)942215762,Belém,PA,65036-670,10-09-1973,f,Jornalista,19866,04-12-2020
CLI0465,PF,Tatiana Borges,65815398852,tatianaborge94@uol.com.br,11981520534,Vitória,ES,89521-936,19.12.1980,F,Empresário,8363,05/10/2021
CLI0416,PF,Roberto Kramer,  153.811.683-71  ,robertokrame305@outlook.com,+55 61 93694-7366,Manaus,AM,36884-935,22.07.1962,M,Professor,10027,21.03.2021
CLI0220,PJ,Distribuidora Nacional ME,91062272362669,distribuidor968@hotmail.com,(31) 95513-6365,Florianópolis,SC,88439-582,2005-04-25,,Transporte,2417083,11-30-2024
CLI0315,PF,Murilo Queiroz,855.359.520-56,muriloqueiro584@yahoo.com.br,(61)971535643,Manaus,AM,30601-442,15/12/1953,f,Vendedor,47507,2022-06-11
CLI0469,PF,Larissa Mendes,360.622.901-13,larissamende604@gmail.com,62941320839,Belém,PA,22186-853,29/09/1996,Masculino,Contador,38707,30/05/2022
CLI0301,PF,FERNANDA MARTINS,,fernandamart73@outlook.com,+55 11 97469-4393,Porto Velho,S.P,94884-228,15/03/1966,M,Vendedor,18147,11-30-2022
CLI0074,PJ,IOTA CONSULTORIA ME,62473149864300,iotaconsulto260@yahoo.com.br,(71)984102271,São Luís,MA,83281-668,22/04/2000,,Serviços,R$ 2749975,06-10-2023
CLI0091,PF,Mauricio Melo,,mauriciomelo285@uol.com.br,41929898606,Aracaju,SP ,97424-691,09.04.1994,M,Vendedor,,05-07-2023
CLI0139,PF,Denise Rezende,  872.558.777-49  ,deniserezend437@outlook.com,71952549761,Teresina,PI,44815-760,1962-01-19,Masculino,Empresário,,12-03-2020
CLI0025,PF,Ligia Bernardes,73322141888,ligiabernard289@outlook.com,(71)917003454,Maceió,AL,82684-205,04-11-1990,f,Economista,14715,14/10/2025
CLI0275,PF,Denise Rezende,998.213.745-56,deniserezend209@yahoo.com.br,+55 62 93523-8465,Rio de Janeiro,RJ,37899-202,28.02.1954,m,Arquiteto,3177,06-14-2022
CLI0417,PF,Lucas Pereira,694.811.266-49,lucaspereira200@hotmail.com,51999373377,Vitória,ES,,01/01/2030,F,Arquiteto,41428,26/02/2023
CLI0256,PF,Gustavo Araujo,71372711759,gustavoarauj152@uol.com.br,+55 41 92615-9883,Porto Alegre,RS,62409-529,1979-06-10,m,Arquiteto,5361,10/05/2023
CLI0397,PJ,Indústria Sul SA,,,+55 61 91566-6489,Belém,PA,75984-915,1995-12-08,,Educação,383282,24/03/2023
CLI0441,PF,  Adriana Jardim  ,  429.069.522-23  ,adrianajardi26@yahoo.com.br,,Cuiabá,MT,59863-655,1987-12-29,M,Técnico,17677,05-03-2022
CLI0427,PF,Leandro Farias,53911776665,leandrofaria648@outlook.com,+55 41 98967-3016,Cuiabá,MT,19386-989,23/01/1972,M,Vendedor,R$ 46548,10-17-2025
CLI0221,PF,Leandro Farias,  417.692.743-81  ,leandrofaria800@outlook.com,(62) 97157-9502,Porto Alegre,RS,94237-200,01-01-2030,Masculino,Vendedor,34438,2021-04-26
CLI0135,PF,claudio queiroga,  641.877.580-30  ,claudioqueir254@gmail.com,(61)990525899,Goiânia,GO,91965-557,22/08/1955,M,Vendedor,3574,16/12/2020
CLI0042,PF,VANESSA FREITAS,622.444.721-26,vanessafreit712@hotmail.com,(31)953739710,Goiânia,GO,61502-473,1984-01-31,m,Contador,R$ 44666,2022-03-29
CLI0093,PF,Priscila Macedo,14488501556,nao informado,(51)986635858,Macapá,AP,25315-985,01-10-1955,m,Arquiteto,R$ 38384,06-16-2023
CLI0243,PF,Otavio Esteves,  340.433.700-96  ,otavioesteve507@uol.com.br,(71)996632730,Macapá,AP,80675-982,02-10-1981,M,Contador,R$ 24769,06-24-2020
CLI0130,PJ,Beta Soluções Ltda,96.115.940/8215-45,betasolucões221@hotmail.com,(81)915997180,Belém,PA,50593-679,09-04-2010,,Varejo,,15.10.2023
CLI0326,PF,Cintia Nogueira,801.944.258-92,cintianoguei235@uol.com.br,21911818925,Natal,RN,17514-620,17.04.1960,F,Enfermeiro,R$ 20073,2024-06-23
CLI0247,PF,gustavo araujo,57683210219,gustavoarauj831@hotmail.com,41935322457,São Paulo,SP,,,Masculino,,36377,26/01/2026
CLI0054,PF,fábio vieira,965.223.955-90,fábiovieira940@hotmail.com,+55 85 97481-2655,Fortaleza,CE,30644-849,1968-01-28,,Advogado,,06-18-2025
CLI0234,PJ,kappa ventures sa,76.604.655/8665-25,kappaventure883@uol.com.br,(11) 93105-2753,Macapá,AP,41056-897,02-21-2016,,Indústria,R$ 3873818,04/11/2020
CLI0127,PF,Roberto Kramer,561.931.837-45,robertokrame158@yahoo.com.br,(31)942925764,Florianópolis,SC,76194-275,04/08/1960,F,Advogado,48410,05.03.2024
CLI0299,PJ,Kappa Ventures SA,59364882089348,kappaventure771@uol.com.br,(62) 92116-7961,Natal,RN,24804-700,06.03.1999,,Serviços,3756663,10-13-2022
CLI0090,PJ,Omicron Distribuidora ME,68.034.764/4726-49,omicrondistr961@uol.com.br,71913343647,Curitiba,PR,21820-356,14/12/2012,,Varejo,3889118,02/11/2021
CLI0151,PF,Tatiana Borges,095.481.497-37,tatianaborge771@uol.com.br,(11)969308631,Salvador,BA,28982-314,10.02.1985,f,Administrador,14785,12/03/2022
CLI0451,PF,Rosana Figueiredo,  896.987.036-88  ,rosanafiguei593@gmail.com,(81) 93790-3101,Porto Alegre,RRJ,12676-189,,F,Contador,,02.01.2025
CLI0198,PJ,Kappa Ventures SA,85819324268774,kappaventure219@uol.com.br,+55 41 91174-4208,,SP,10735-700,14/10/2018,,Tecnologia,3167606,01-20-2021
CLI0157,PJ,Construtora Central SA,25605313402665,construtorac732@hotmail.com,71927638581,Natal,RN,75536-113,26/12/2002,,Saúde,2329688,26/08/2022
CLI0229,PJ,serviços leste me,41.163.187/3280-77,servicoslest453@uol.com.br,+55 85 91716-1232,Maceió,AL,42873-279,20/09/1998,,Agronegócio,665395,01/04/2022
CLI0144,PF,João Silva,122.068.155-83,joaosilva811@uol.com.br,+55 21 96440-3872,Salvador,BA,97342-593,12-25-1974,f,Engenheiro,28941,13.03.2020
CLI0277,PF,Patricia Rocha,591.408.499-32,patriciaroch622@hotmail.com,(62) 96927-4997,Florianópolis,SC,63408-779,,F,Vendedor,16149,06.08.2021
CLI0480,PJ,Grupo Alfa SA,80.418.693/0326-45,grupoalfasa624@gmail.com,51996593644,Macapá,AP,96770-217,25.10.2007,,Saúde,798893,19/01/2025
